file	line	scope	decorators	text
findex_bot/bot.py	146	_start_deeplink_entry	"deeplink_router.message(CommandStart(deep_link=True), F.text.regexp(r""^/start\s+resp_\d+\s*$""))"	⚠️ Некорректная ссылка на объявление. Открой объявление в канале и нажми «📩 Откликнуться» ещё раз.
findex_bot/bot.py	169	_start_deeplink_entry	"deeplink_router.message(CommandStart(deep_link=True), F.text.regexp(r""^/start\s+resp_\d+\s*$""))"	📩 Откликнуться
findex_bot/bot.py	173	_start_deeplink_entry	"deeplink_router.message(CommandStart(deep_link=True), F.text.regexp(r""^/start\s+resp_\d+\s*$""))"	📩 Как ты хочешь откликнуться на объявление? Нажми кнопку ниже — бот продолжит отклик.
findex_bot/handlers/employer.py	89	_trash_buttons_only_notice		ℹ️ Сейчас вводить текст не нужно — используй кнопки ниже.
findex_bot/handlers/employer.py	94	_contact_mode_keyboard_2		🔒 Отклики через бота (рекомендовано)
findex_bot/handlers/employer.py	95	_contact_mode_keyboard_2		📞 Контакты в объявлении (без бота)
findex_bot/handlers/employer.py	129	_media_confirmed_stub	router.callback_query(F.data == MEDIA_CONFIRMED_CALLBACK)	🟢 Медиа подтверждено. Если хочешь заменить — открой предпросмотр объявления и нажми кнопку «Медиа».
findex_bot/handlers/employer.py	188	_need_restart		⚠️ Сессия сбилась. Нажми /start.
findex_bot/handlers/employer.py	216	_prompt_contacts		Укажи 📞 контакты. ℹ️ Подсказка по контактам: • Telegram: @username • Телефон: +7 999 123-45-67 • Email: name@mail.com • Любой удобный способ связи
findex_bot/handlers/employer.py	230	_prompt_contact_mode		Как принимать отклики?
findex_bot/handlers/employer.py	546	emp_contacts	router.message(EmployerForm.contacts)	Контакты
findex_bot/handlers/employer.py	872	_metro_pick	router.callback_query(StateFilter(EmployerForm.location), F.data.startswith(METRO_PICK_CALLBACK))	Выбери линию метро Москвы:
findex_bot/handlers/employer.py	886	_metro_line_pick	router.callback_query(StateFilter(EmployerForm.location), F.data.startswith(METRO_LINE_CALLBACK + ':'))	Выбери станцию метро:
findex_bot/handlers/employer.py	900	_metro_station_pick	router.callback_query(StateFilter(EmployerForm.location), F.data.startswith(METRO_STATION_CALLBACK + ':'))	⚠️ Не удалось определить станцию
findex_bot/handlers/employer.py	906	_metro_station_pick	router.callback_query(StateFilter(EmployerForm.location), F.data.startswith(METRO_STATION_CALLBACK + ':'))	⚠️ Сессия сбилась. Нажми /start.
findex_bot/handlers/employer.py	938	_send_employer_contact_mode_hint		Нажми одну из кнопок выше, чтобы выбрать способ получения откликов.
findex_bot/handlers/employer.py	958	_send_employer_media_choice_hint		Нажми одну из кнопок выше: ➕ Добавить медиа или ⏭ Без медиа.
findex_bot/handlers/employer.py	1025	employer_buttons_only_trash	router.message(StateFilter(EmployerForm.preview, EmployerForm.media_choice, EmployerForm.media_confirm))	⏳ Объявление уже отправлено на модерацию. Дождись ответа модератора.
findex_bot/handlers/employer.py	1027	employer_buttons_only_trash	router.message(StateFilter(EmployerForm.preview, EmployerForm.media_choice, EmployerForm.media_confirm))	Используй кнопки выше: исправить поле, изменить медиа или отправить объявление на модерацию.
findex_bot/handlers/employer.py	1029	employer_buttons_only_trash	router.message(StateFilter(EmployerForm.preview, EmployerForm.media_choice, EmployerForm.media_confirm))	Нажми одну из кнопок выше: ➕ Добавить медиа или ⏭ Без медиа.
findex_bot/handlers/employer.py	1031	employer_buttons_only_trash	router.message(StateFilter(EmployerForm.preview, EmployerForm.media_choice, EmployerForm.media_confirm))	Используй кнопки выше.
findex_bot/handlers/employer.py	1064	emp_send	"router.callback_query(F.data.startswith(""send_employer:""))"	⏳ Уже на модерации
findex_bot/handlers/employer.py	1070	emp_send	"router.callback_query(F.data.startswith(""send_employer:""))"	⚠️ Сначала выбери, как принимать отклики.
findex_bot/handlers/employer.py	1141	emp_send	"router.callback_query(F.data.startswith(""send_employer:""))"	✅ Отправлено на модерацию
findex_bot/handlers/forms.py	65	_send_limit_notice		Один служебный лимитный message на пользователя. При повторном нажатии старый удаляем, новый отправляем и тоже автоудаляем. Никаких новых зависимостей/Redis тут не добавляем.
findex_bot/handlers/forms.py	134	channel_ad_kb		📩 Откликнуться
findex_bot/handlers/forms.py	137	channel_ad_kb		📩 Откликнуться
findex_bot/handlers/forms.py	230	_sync_original_moderation_message_published		Синхронизирует оригинальную карточку модерации, если approve был нажат не на ней, а на её копии из /намодерации.
findex_bot/handlers/forms.py	307	_sync_original_moderation_message_rejected		Синхронизирует оригинальную карточку модерации, если reject был нажат не на ней, а на её копии из /намодерации.
findex_bot/handlers/forms.py	383	_delete_current_moderation_copy_if_needed		Если действие выполнено на копии карточки из /намодерации, удаляем эту копию после синхронизации оригинала. Если действие было на оригинальной moderation-карточке, ничего не делаем.
findex_bot/handlers/forms.py	437	_user_publish_footer		ℹ️ Чтобы создать новое объявление — нажми /start
findex_bot/handlers/forms.py	483	_strip_contacts_from_ad_text		Для публикации в основной канал скрываем строку с контактами, если выбран способ отклика через бота. Модерация при этом продолжает видеть полную карточку.
findex_bot/handlers/forms.py	491	_strip_contacts_from_ad_text		Контакты:
findex_bot/handlers/forms.py	491	_strip_contacts_from_ad_text		📞 Контакты:
findex_bot/handlers/forms.py	744	_draft_preview_kb		Изменить Контакты
findex_bot/handlers/forms.py	753	_draft_preview_kb		✅ Отправить на модерацию
findex_bot/handlers/forms.py	766	_draft_preview_kb		Изменить Контакты
findex_bot/handlers/forms.py	775	_draft_preview_kb		✅ Отправить на модерацию
findex_bot/handlers/forms.py	826	toggle_published_preview	"router.callback_query(F.data.startswith(""pubpv_toggle:""))"	❌ Не удалось обновить карточку
findex_bot/handlers/forms.py	873	republish_from_preview	"router.callback_query(F.data.startswith(""republish:""))"	❌ Не удалось создать копию
findex_bot/handlers/forms.py	949	reject_ad	"router.callback_query(F.data.startswith(""reject:""))"	соискатель
findex_bot/handlers/forms.py	951	reject_ad	"router.callback_query(F.data.startswith(""reject:""))"	работодатель
findex_bot/handlers/forms.py	972	reject_ad	"router.callback_query(F.data.startswith(""reject:""))"	Выбери причину отклонения
findex_bot/handlers/forms.py	982	_field_title_local		Контакты
findex_bot/handlers/forms.py	1000	_prompt_for		Укажи 🕒 график. Пример: 5/2, 2/2, Сменный, Гибкий, Удалёнка
findex_bot/handlers/forms.py	1007	_prompt_for		Укажи 📞 контакты. • Telegram: @username • Телефон: +7 999 123-45-67 • Email: name@mail.com • Любой удобный способ связи
findex_bot/handlers/forms.py	1035	_prompt_for		Укажи 📞 контакты. • Telegram: @username • Телефон: +7 999 123-45-67 • Email: name@mail.com • Любой удобный способ связи
findex_bot/handlers/forms.py	1082	_role_from_moderation_message		соискатель
findex_bot/handlers/forms.py	1085	_role_from_moderation_message		работодатель
findex_bot/handlers/forms.py	1207	rejr_dispatch	"router.callback_query(F.data.startswith(""rejr:""))"	Контакты некорректные
findex_bot/handlers/forms.py	1352	_start_edit_from_preview		❌ Не удалось открыть режим редактирования
findex_bot/handlers/menu.py	66	_menu_kb		📩 Мои отклики
findex_bot/handlers/menu.py	70	_menu_kb		📣 Канал - обязательная подписка
findex_bot/handlers/menu.py	79	_responds_root_kb		👤 Я откликался
findex_bot/handlers/menu.py	80	_responds_root_kb		🧑‍💼 Мне откликнулись
findex_bot/handlers/menu.py	91	_responds_role_kb		↩️ Мои отклики
findex_bot/handlers/menu.py	273	_render_pending_preview_surface		Полноценный preview pending-объявления: - тот же текст get_ad_text(ad) - те же media (photo/video) - НО keyboard только stub «объявление уже отправлено на модерацию» + наши кнопки возврата в диагностику/меню
findex_bot/handlers/menu.py	505	_unread_badge		🔴 Новый отклик
findex_bot/handlers/menu.py	548	_responds_root_text		📩 <b>Мои отклики</b> ⚡ Все отклики и диалоги в одном месте Следи за статусами, отвечай кандидатам и управляй общением без лишних действий Выбери раздел:
findex_bot/handlers/menu.py	557	_responds_role_text		👤 <b>Я откликался</b>
findex_bot/handlers/menu.py	557	_responds_role_text		🧑‍💼 <b>Мне откликнулись</b>
findex_bot/handlers/menu.py	559	_responds_role_text		📩 <b>Мои отклики</b> {...} ⚡ Управляй откликами и диалогами 🟢 Активные: <b>{...}</b> 🔴 Закрытые: <b>{...}</b> Выбери раздел:
findex_bot/handlers/menu.py	579	_group_header_for_status		🆕 <b>Новые отклики</b>
findex_bot/handlers/menu.py	622	_responds_bucket_text		👤 <b>Я откликался</b>
findex_bot/handlers/menu.py	622	_responds_bucket_text		🧑‍💼 <b>Мне откликнулись</b>
findex_bot/handlers/menu.py	626	_responds_bucket_text		📩 <b>Мои отклики</b>
findex_bot/handlers/menu.py	628	_responds_bucket_text		⚡ Отклик → диалог → результат
findex_bot/handlers/menu.py	638	_responds_bucket_text		📩 <b>Мои отклики</b> ⚡ Отклик → диалог → результат 👤 <b>Я откликался</b> 🟢 <b>Активные</b>
findex_bot/handlers/menu.py	643	_responds_bucket_text		Пока откликов нет ⚡ Найди вакансию и откликнись Работодатель ответит прямо в диалоге Начни прямо сейчас 👇
findex_bot/handlers/menu.py	651	_responds_bucket_text		📩 <b>Мои отклики</b> ⚡ Отклик → диалог → результат 🧑‍💼 <b>Мне откликнулись</b> 🟢 <b>Активные</b>
findex_bot/handlers/menu.py	656	_responds_bucket_text		Пока откликов нет ⚡ Кандидаты появляются сразу после публикации Начни получать отклики уже сегодня Размести вакансию 👇
findex_bot/handlers/menu.py	700	_send_or_edit_menu		{...}📋 <b>FindexHub</b> ⚡ Быстрые вакансии без ожидания Отклик → диалог → результат Управляй откликами, находи кандидатов и получай ответы без ожидания Выбери действие:
findex_bot/handlers/menu.py	781	_send_or_edit_pending_ad		⚠️ Объявление уже не находится на модерации
findex_bot/handlers/responds.py	348	_render_thread		🧑‍💼 Работодатель
findex_bot/handlers/responds.py	407	fast_respond_offer_kb		⚡ Быстрый отклик
findex_bot/handlers/responds.py	408	fast_respond_offer_kb		✏️ Заполнить заново
findex_bot/handlers/responds.py	430	_fast_respond_offer_text		⚡ <b>У тебя уже есть сохранённая анкета.</b> Ты откликаешься на объявление:
findex_bot/handlers/responds.py	436	_fast_respond_offer_text		Выбери действие:
findex_bot/handlers/responds.py	444	_fast_respond_offer_text		Выбери действие:
findex_bot/handlers/responds.py	520	_respond_intro_text		📨 <b>Отклик на вакансию</b> ⚡ Быстрый отклик — начни диалог сразу Ты откликаешься на объявление:
findex_bot/handlers/responds.py	524	_respond_intro_text		Отклик займёт меньше минуты. Нажми «⚡ Откликнуться за 1 минуту», чтобы заполнить мини-анкету.
findex_bot/handlers/responds.py	530	_respond_intro_text		📨 <b>Отклик на вакансию</b> ⚡ Быстрый отклик — начни диалог сразу Отклик займёт меньше минуты. Нажми «⚡ Откликнуться за 1 минуту», чтобы заполнить мини-анкету.
findex_bot/handlers/responds.py	539	_respond_draft_choice_text		📝 <b>У тебя уже есть незавершённый отклик на это объявление.</b> Выбери, что сделать дальше:
findex_bot/handlers/responds.py	832	_acquire_form_send_click_lock		Короткий anti-race lock именно на кнопку отправки анкеты. Нужен, чтобы не пускать повторные callback'и form_send почти одновременно.
findex_bot/handlers/responds.py	856	_delete_form_preview_message		Гарантированно удаляет preview-анкету, если она ещё висит. Используется в success/duplicate ветках form_send.
findex_bot/handlers/responds.py	886	_delete_intro_service_message		Удаляет intro/service-message. - если ad_id передан: удаляет только сообщение этого объявления - если ad_id не передан: удаляет все intro/service-message пользователя
findex_bot/handlers/responds.py	1027	_send_intro_trash_hint		👆 Нажми кнопку «⚡ Откликнуться за 1 минуту» выше.
findex_bot/handlers/responds.py	1224	intro_kb		⚡ Откликнуться за 1 минуту
findex_bot/handlers/responds.py	1241	existing_respond_notice_kb		💬 Открыть мой отклик
findex_bot/handlers/responds.py	1251	_existing_respond_notice_text		📂 <b>У тебя уже есть отклик на это объявление.</b> Вот это объявление:
findex_bot/handlers/responds.py	1254	_existing_respond_notice_text		⚡ Продолжай диалог или открой карточку отклика.
findex_bot/handlers/responds.py	1259	_existing_respond_notice_text		📂 <b>У тебя уже есть отклик на это объявление.</b> ⚡ Продолжай диалог или открой карточку отклика.
findex_bot/handlers/responds.py	1355	_resume_draft_flow		🧾 <b>Анкета кандидата</b> ⚡ Отклик займёт меньше минуты 1/4 Введи <b>Имя</b> (обязательно).
findex_bot/handlers/responds.py	1383	_resume_draft_flow		3/4 Выбери <b>Гражданство</b> (обязательно). Если твоей страны нет в списке — нажми «🌍 Другая страна».
findex_bot/handlers/responds.py	1596	_closed_stub_btn		🔒 Отклик закрыт кандидатом
findex_bot/handlers/responds.py	1598	_closed_stub_btn		🔒 Отклик закрыт работодателем
findex_bot/handlers/responds.py	1600	_closed_stub_btn		🔒 Отклик закрыт
findex_bot/handlers/responds.py	1640	author_card_kb		🚫 Закрыть отклик
findex_bot/handlers/responds.py	1680	candidate_card_kb		🚫 Отменить отклик
findex_bot/handlers/responds.py	1685	candidate_card_kb		🚫 Отменить отклик
findex_bot/handlers/responds.py	1708	form_preview_kb		📨 Отправить отклик
findex_bot/handlers/responds.py	1722	_back_to_list_btn		↩️ К списку откликов
findex_bot/handlers/responds.py	1728	_extract_browse_context_from_markup		Пытаемся восстановить browse-context из текущей inline-клавиатуры карточки. Нужен для случаев, когда карточка открыта из списка откликов, а callback_data рабочей кнопки (например cancel/close) не содержит side/bucket/page.
findex_bot/handlers/responds.py	1769	_respond_action_forbidden_text		🔒 {...} недоступно. Отклик закрыт работодателем.
findex_bot/handlers/responds.py	1771	_respond_action_forbidden_text		🔒 {...} недоступно. Отклик закрыт кандидатом.
findex_bot/handlers/responds.py	1773	_respond_action_forbidden_text		🔒 {...} недоступно. Отклик закрыт системой.
findex_bot/handlers/responds.py	1777	_respond_action_forbidden_text		🔒 {...} недоступно. Отклик устарел: срок активности истёк ({...} дн.).
findex_bot/handlers/responds.py	1793	_build_compact_text		📩 Отклик <b>#{...}</b> • Объявление: <b>#{...}</b> • Ссылка: {...}
findex_bot/handlers/responds.py	1948	_build_card_text		📩 <b>Отклик на вакансию</b>
findex_bot/handlers/responds.py	1949	_build_card_text		Отклик: <code>#{...}</code>
findex_bot/handlers/responds.py	1982	_build_card_text		⚡ Диалог начинается сразу после отклика
findex_bot/handlers/responds.py	2147	toggle_card	"router.callback_query(F.data.startswith(f""{CB_TOGGLE}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	2192	toggle_card	"router.callback_query(F.data.startswith(f""{CB_TOGGLE}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	2234	_guard_ad_for_respond		🚫 Отклик невозможен Объявление закрыто работодателем.
findex_bot/handlers/responds.py	2236	_guard_ad_for_respond		🚫 Отклик невозможен Объявление закрыто работодателем.
findex_bot/handlers/responds.py	2241	_guard_ad_for_respond		🚫 Вакансия больше не актуальна. Отклик невозможен.
findex_bot/handlers/responds.py	2243	_guard_ad_for_respond		🚫 Вакансия больше не актуальна. Отклик невозможен.
findex_bot/handlers/responds.py	2248	_guard_ad_for_respond		🚫 Это объявление устарело. Отклик невозможен.
findex_bot/handlers/responds.py	2250	_guard_ad_for_respond		🚫 Это объявление устарело. Отклик невозможен.
findex_bot/handlers/responds.py	2269	start_from_deeplink		❌ Нельзя откликнуться на собственное объявление.
findex_bot/handlers/responds.py	2382	draft_resume	router.callback_query(F.data == CB_DRAFT_RESUME)	⏳ Черновик не найден. Нажми «📩 Откликнуться» на объявлении ещё раз.
findex_bot/handlers/responds.py	2408	draft_restart	router.callback_query(F.data == CB_DRAFT_RESTART)	⏳ Контекст объявления потерян. Нажми «📩 Откликнуться» на объявлении ещё раз.
findex_bot/handlers/responds.py	2477	intro_choice_clean_thread_guard	router.message(RespondFSM.form_intro_choice)	Clean-thread guard ТОЛЬКО для intro-card этапа. Пока пользователь не нажал кнопку «Откликнуться за 1 минуту», любые ручные сообщения считаются мусором: - удаляем сообщение - показываем короткий автоудаляемый hint
findex_bot/handlers/responds.py	2514	saved_choice_clean_thread	router.message(RespondFSM.form_saved_choice)	Используй кнопки в карточке выше.
findex_bot/handlers/responds.py	2529	wait_hint	"router.callback_query(F.data.startswith(f""{CB_WAIT}:""))"	⏳ Отклик на рассмотрении. Пока работодатель не пригласит — переписка недоступна. Как только тебя пригласят, в карточке появится кнопка «Ответить».
findex_bot/handlers/responds.py	2548	open_menu_from_respond_card	router.callback_query(F.data == CB_MENU_OPEN)	Открой меню командой /menu
findex_bot/handlers/responds.py	2575	respond_to_menu	"router.callback_query(F.data.startswith(f""{CB_MENU}:""))"	Ок. Контекст сохранён на 15 минут. Открой меню бота и нажми «🔙 Вернуться к отклику».
findex_bot/handlers/responds.py	2596	respond_back	router.callback_query(F.data == CB_BACK)	⏳ Сессия устарела. Нажми «📩 Откликнуться» на объявлении ещё раз.
findex_bot/handlers/responds.py	2644	resume_respond	"router.callback_query(F.data.startswith(f""{CB_RESUME}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	2664	resume_respond	"router.callback_query(F.data.startswith(f""{CB_RESUME}:""))"	⚠️ Не удалось открыть отклик
findex_bot/handlers/responds.py	2781	open_respond_from_list	"router.callback_query(F.data.startswith(f""{CB_OPEN_FROM_LIST}:""))"	❌ Отклик не найден
findex_bot/handlers/responds.py	2898	intro_continue	"router.callback_query(F.data.startswith(f""{CB_INTRO_CONTINUE}:""))"	🧾 <b>Анкета кандидата</b> ⚡ Отклик займёт меньше минуты 1/4 Введи <b>Имя</b> (обязательно).
findex_bot/handlers/responds.py	2940	respond_entry	"router.callback_query(F.data.startswith(f""{CB_RESPOND}:""))"	❌ Нельзя откликнуться на собственное объявление
findex_bot/handlers/responds.py	3013	fast_respond_restart	"router.callback_query(F.data.startswith(f""{CB_FAST_RESPOND_RESTART}:""))"	🧾 <b>Анкета кандидата</b> ⚡ Отклик займёт меньше минуты 1/4 Введи <b>Имя</b> (обязательно).
findex_bot/handlers/responds.py	3050	fast_respond_send	"router.callback_query(F.data.startswith(f""{CB_FAST_RESPOND}:""))"	⏳ Отклик уже отправляется. Подожди пару секунд.
findex_bot/handlers/responds.py	3068	fast_respond_send	"router.callback_query(F.data.startswith(f""{CB_FAST_RESPOND}:""))"	🚫 Ты уже откликался на это объявление.
findex_bot/handlers/responds.py	3075	fast_respond_send	"router.callback_query(F.data.startswith(f""{CB_FAST_RESPOND}:""))"	🚫 Лимит откликов исчерпан. Сегодня можно отправить только 5 откликов. Попробуй снова после полуночи.
findex_bot/handlers/responds.py	3082	fast_respond_send	"router.callback_query(F.data.startswith(f""{CB_FAST_RESPOND}:""))"	⚠️ Временно не удалось проверить дневной лимит откликов. Попробуй ещё раз чуть позже.
findex_bot/handlers/responds.py	3103	fast_respond_send	"router.callback_query(F.data.startswith(f""{CB_FAST_RESPOND}:""))"	Отклик отправлен по сохранённой анкете.
findex_bot/handlers/responds.py	3143	fast_respond_send	"router.callback_query(F.data.startswith(f""{CB_FAST_RESPOND}:""))"	🚫 Ты уже откликался на это объявление.
findex_bot/handlers/responds.py	3176	fast_respond_send	"router.callback_query(F.data.startswith(f""{CB_FAST_RESPOND}:""))"	🚀 Быстрый отклик отправлен Работодатель уже может ответить
