file	line	scope	decorators	hint_point_guess	text
findex_bot/bot.py	146	_start_deeplink_entry	"deeplink_router.message(CommandStart(deep_link=True), F.text.regexp(r""^/start\s+resp_\d+\s*$""))"	deeplink_entry_surface	⚠️ Некорректная ссылка на объявление. Открой объявление в канале и нажми «📩 Откликнуться» ещё раз.
findex_bot/bot.py	173	_start_deeplink_entry	"deeplink_router.message(CommandStart(deep_link=True), F.text.regexp(r""^/start\s+resp_\d+\s*$""))"	deeplink_entry_surface	📩 Как ты хочешь откликнуться на объявление? Нажми кнопку ниже — бот продолжит отклик.
findex_bot/handlers/employer.py	89	_trash_buttons_only_notice		employer_other	ℹ️ Сейчас вводить текст не нужно — используй кнопки ниже.
findex_bot/handlers/employer.py	129	_media_confirmed_stub	router.callback_query(F.data == MEDIA_CONFIRMED_CALLBACK)	employer_other	🟢 Медиа подтверждено. Если хочешь заменить — открой предпросмотр объявления и нажми кнопку «Медиа».
findex_bot/handlers/employer.py	188	_need_restart		employer_other	⚠️ Сессия сбилась. Нажми /start.
findex_bot/handlers/employer.py	216	_prompt_contacts		vacancy_field_prompt	Укажи 📞 контакты. ℹ️ Подсказка по контактам: • Telegram: @username • Телефон: +7 999 123-45-67 • Email: name@mail.com • Любой удобный способ связи
findex_bot/handlers/employer.py	872	_metro_pick	router.callback_query(StateFilter(EmployerForm.location), F.data.startswith(METRO_PICK_CALLBACK))	vacancy_location_metro_prompt	Выбери линию метро Москвы:
findex_bot/handlers/employer.py	886	_metro_line_pick	router.callback_query(StateFilter(EmployerForm.location), F.data.startswith(METRO_LINE_CALLBACK + ':'))	vacancy_location_metro_prompt	Выбери станцию метро:
findex_bot/handlers/employer.py	900	_metro_station_pick	router.callback_query(StateFilter(EmployerForm.location), F.data.startswith(METRO_STATION_CALLBACK + ':'))	employer_other	⚠️ Не удалось определить станцию
findex_bot/handlers/employer.py	906	_metro_station_pick	router.callback_query(StateFilter(EmployerForm.location), F.data.startswith(METRO_STATION_CALLBACK + ':'))	employer_other	⚠️ Сессия сбилась. Нажми /start.
